Platform,Category,Earned £/hr,Reliability(/10),UK Access(/10),Entry Barrier(/10),Scalability(/10),Tax Efficiency(/10),Time to First £(/10),Total Score,Payout Method,Min Payout,UK Available,Entry Requirement,Notes
Mercor,AI Training,40-150,9,10,9,9,8,9,85,Wise/Bank,None,Yes,AI video interview (20 min),Top earner weekly pay
DataAnnotation.tech,AI Training,15-31,9,10,5,7,8,8,72,PayPal,None,Yes,Assessment 1-3hrs 10-20% acceptance,Best balance pay×flexibility UK
Alignerr,AI Training,19-117,7,10,5,7,8,6,61,PayPal/Deel,None,Yes,AI interview + background check,High pay inconsistent work
Invisible Technologies,AI Training,19-78,8,10,4,8,8,5,59,Bank,None,Yes,Multi-stage application,Long-term projects
Braintrust,AI Training,31-117,9,9,3,8,8,6,59,PayPal/Bank,None,Yes,Portfolio review,Premium tier
Vetto,AI Training,31-234,8,10,3,6,8,6,59,Unknown,None,Yes,High barrier specialist roles,$40-300/hr specialist
AfterQuery,AI Training,31-39,8,9,5,6,8,7,57,PayPal,None,Yes,Medium barrier,$40-50/hr consistent
Surge AI,AI Training,11-17,8,9,6,5,8,7,55,PayPal,None,Yes,Medium barrier,Good backup
OneForma,AI Training,8-23,7,10,8,5,8,8,60,PayPal/Skrill,None,Yes,Low barrier,Good starter platform
CrowdGen,AI Training,8-19,7,10,8,5,8,8,60,PayPal,None,Yes,Very low,Backup option
Prolific,Surveys,8-15,10,10,9,4,8,10,66,PayPal,£5,Yes,About You profile,Best survey platform UK
UserInterviews,Surveys,50-150,8,9,6,7,8,7,63,PayPal/Amazon,£15,Yes,Screener application,High pay intermittent
Freecash,Surveys,3-15,7,10,9,6,8,9,60,PayPal/Skrill/Crypto,£2,Yes,Simple signup,Game offers best
YouGov,Surveys,3-5,9,10,9,3,8,7,55,Amazon vouchers,£50,Yes,Email signup,Reliable long-term
Qmee,Surveys,2-5,8,10,10,3,8,10,59,PayPal,£0.01,Yes,Browser extension,Instant cashout unique
Respondent,Surveys,35-100,8,9,6,7,8,7,63,PayPal/Amazon,£20,Yes,Screener,High-value studies
OnePoll,Surveys,4-5,8,10,8,3,8,7,54,Bank/PayPal,£20,Yes,Simple signup,Quick £5 signup bonus
Prime Opinion,Surveys,2-5,7,10,8,3,8,8,50,PayPal/Visa,£3.95,Yes,Simple signup,Fast payouts <30 min
UserTesting,UX Research,30,10,9,7,7,8,8,65,PayPal,£10,Yes,Sample test recording,Most consistent UX platform
Userlytics,UX Research,30,8,9,7,6,8,7,61,PayPal,£10,Yes,Sample test,Same format as UserTesting
UsabilityHub,UX Research,30,8,9,8,6,8,8,63,PayPal,£5,Yes,Quick signup,Quick 5-min tests
UserZoom,UX Research,50-100,9,9,5,7,8,6,60,PayPal,Bank,Varies,Study specific,Premium studies
dscout,UX Research,30-50,8,9,6,6,8,7,58,PayPal,Varies,Yes,Screener,Good mid-tier
Outplayed,Matched Betting,20-50,8,10,7,8,10,9,68,Bank,None,Yes,£14.99/mo subscription,Tax-free £400-500 month 1
Co-operative Bank,Bank Switching,300 lump,8,10,7,3,10,5,53,Bank,None,Yes,Switch 2 DDs £1500 deposit,Best switch offer
TSB,Bank Switching,310 lump,7,10,7,3,10,5,52,Bank,None,Yes,Switch £1000 deposit 5 txns,Strong offer
Barclays,Bank Switching,200 lump,8,10,7,3,10,5,53,Bank,None,Yes,Switch 2 DDs Blue Rewards,Expires 27 Aug
HSBC,Bank Switching,220 lump,8,10,6,3,10,5,52,Bank,None,Yes,Switch 2 DDs £2000 deposit,Strong ongoing
NatWest,Bank Switching,200 lump,8,10,7,3,10,6,54,Bank,None,Yes,Switch 2 DDs £1250 deposit,Ongoing solid
RBS,Bank Switching,200 lump,8,10,7,3,10,6,54,Bank,None,Yes,Switch 2 DDs £1250 deposit,Ongoing solid
Bank of Scotland,Bank Switching,175 lump,8,10,8,3,10,6,55,Bank,None,Yes,Switch via CASS,Expires 4 Aug
TopCashback,Cashback,1-10%,9,10,9,8,9,10,65,PayPal/Bank,£0,Yes,Click through links,Essential for online shopping
Quidco,Cashback,1-10%,9,10,9,8,9,10,65,PayPal/Bank,£5,Yes,Click through links,Essential alongside TCB
EverUp,Cashback,Up to 25%,7,9,8,6,8,8,56,Bank,£10,Yes,Sign up + buy gift cards,Higher supermarket rates
Cheddar,Cashback,Up to 10%,7,9,8,6,8,8,56,Bank,£5,Yes,Sign up + link card or buy cards,Open Banking enabled
Airtime Rewards,Cashback,Passive,9,10,9,9,8,9,63,Phone bill,£10,Yes,Link debit/credit card,Set and forget passive
Roamler,Mystery Shopping,3-8 per task,8,9,7,5,7,8,52,Bank,£20,Yes,Invite code,Top mystery shopping app
Field Agent,Mystery Shopping,3-20 per task,8,9,7,5,7,8,52,Bank/PayPal,£5,Yes,Sign up,Best variety
iShopFor Ipsos,Mystery Shopping,10-20 per task,9,8,6,5,7,7,50,PayPal,£1,Yes,Sign up,Major firm reliable
Shepper,Mystery Shopping,2.50-20 per task,9,8,7,5,7,8,52,Bank,£20,Yes,Sign up,Trustpilot 4.6 fast payment
Upwork,Freelance,20-50,8,9,7,9,8,7,64,PayPal/Bank,None,Yes,Free profile,Largest marketplace
PeoplePerHour,Freelance,20-45,8,10,7,8,8,7,62,PayPal/Bank,None,Yes,Free profile,Best UK-centric
MyBuilder,Freelance,25-40,8,10,6,9,8,6,61,Bank,None,Yes,Profile + subscription,Best construction platform
